ura_carpark_name,type_of_lot,number_of_lots
QUEEN STREET / ROCHOR ROAD OFF STREET,Motor Car,189
QUEEN STREET OFF STREET,Motor Car,91
SEAH STREET,Motor Car,8
SERVICE ROAD OFF QUEEN ST(QUEEN/WATERLOO ST),Motor Car,8
SHORT STREET,Motor Car,18
SOPHIA ROAD,Motor Car,5
TAN QUEE LAN STREET,Motor Car,73
WATERLOO STREET,Motor Car,13
WILKIE ROAD,Motor Car,16
JALAN DERUM,Motor Car,2
JALAN LEGUNDI,Motor Car,24
JALAN TAMPANG,Motor Car,19
SEMBAWANG DRIVE HEAVY VEHICLE PARK,Motor Car,0
SEMBAWANG RD/ADMIRALTY RD EAST OFF STREET,Motor Car,39
SEMBAWANG ROAD OFF STREET,Motor Car,75
SEMBONG ROAD,Motor Car,3
SENOKO AVENUE,Motor Car,26
SENOKO DRIVE,Motor Car,40
SENOKO ROAD,Motor Car,25
SENOKO SOUTH ROAD,Motor Car,26
SENOKO WAY,Motor Car,31
SERVICE ROAD OFF SEMBAWANG ROAD,Motor Car,5
SENGKANG EAST AND WEST WAY,Motor Car,0
BACKLANE BET CLIVE STREET/MADRAS STREET,Motor Car,0
BACKLANE BET CUFF ROAD /VEERASAMY ROAD,Motor Car,0
BACKLANE BET DICKSON ROAD/DUNLOP STREET,Motor Car,0
BACKLANE BET DICKSON ROAD/UPPER WELD ROAD,Motor Car,0
BACKLANE BET HINDOO ROAD/ROWELL ROAD,Motor Car,0
BACKLANE BET KAMPONG KAPOR/UPPER DICKSON RD,Motor Car,0
BACKLANE BET MAYO STREET/DUNLOP STREET,Motor Car,0
BACKLANE BET PERAK ROAD/MADRAS STREET,Motor Car,0
BACKLANE OFF DESKER ROAD,Motor Car,0
BACKLANE OFF ROWELL ROAD,Motor Car,0
BACKLANE OFF SAM LEONG ROAD,Motor Car,0
BACKLANE OFF SAM LEONG ROAD/JALAN BESAR,Motor Car,0
BACKLANE OFF STURDEE ROAD,Motor Car,0
BEATTY ROAD,Motor Car,32
BEATTY ROAD OFF STREET,Motor Car,17
BELILIOS LANE OFF STREET,Motor Car,35
BENG WAN ROAD OFF STREET,Motor Car,41
BIRCH ROAD,Motor Car,17
BUFFALO ROAD SERVICE ROAD,Motor Car,18
CAMPBELL LANE,Motor Car,9
CHANDER ROAD,Motor Car,14
CLIVE STREET,Motor Car,16
CUFF ROAD,Motor Car,40
DALHOUSIE LANE,Motor Car,4
DESKER ROAD,Motor Car,87
DICKSON ROAD,Motor Car,40
DICKSON ROAD OFF STREET,Motor Car,43
DUNLOP STREET,Motor Car,55
FARRER PARK SQUASH & TENNIS CENTRE (SSC),Motor Car,48
FLANDERS SQUARE,Motor Car,12
HINDOO ROAD,Motor Car,36
HINDOO ROAD OFF STREET,Motor Car,12
HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,Motor Car,13
JALAN BESAR / BEATTY ROAD OFF STREET,Motor Car,45
JALAN SEMERBAK,Motor Car,5
JOO AVENUE,Motor Car,28
KAMPONG KAPOR ROAD,Motor Car,26
KAMPONG KAPOR ROAD OFF STREET,Motor Car,57
KERBAU ROAD,Motor Car,11
KINTA ROAD,Motor Car,8
KINTA ROAD OFF STREET,Motor Car,122
KITCHENER ROAD,Motor Car,12
LEMBU ROAD,Motor Car,19
MAYO STREET,Motor Car,35
MOONSTONE LANE,Motor Car,30
NORRIS ROAD,Motor Car,26
OPAL CRESCENT,Motor Car,46
OWEN ROAD (SERANGOON/ RACE COURSE ROAD),Motor Car,2
OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Motor Car,13
PERAK ROAD,Motor Car,11
PERUMAL ROAD,Motor Car,8
PETAIN ROAD (SERANGOON ROAD / JALAN BESAR),Motor Car,62
PETAIN ROAD OFF STREET,Motor Car,15
RACE COURSE LANE,Motor Car,7
RACE COURSE ROAD,Motor Car,68
RACE COURSE ROAD (BET BT TIMAH / RANGOON RD),Motor Car,36
RACE COURSE ROAD / NORTHUMBERLAND ROAD,Motor Car,126
RANGOON LANE,Motor Car,3
RANGOON LANE OFF STREET,Motor Car,22
RANGOON ROAD,Motor Car,77
ROBERTS LANE,Motor Car,39
ROWELL ROAD,Motor Car,89
RUBY LANE,Motor Car,19
SAM LEONG ROAD,Motor Car,46
SERANGOON RD(KITCHENER RD/LAVENDER ST),Motor Car,46
SERVICE ROAD OFF JALAN KELULUT,Motor Car,27
SING AVENUE,Motor Car,17
SING JOO WALK,Motor Car,9
SOMME ROAD,Motor Car,13
ST WILFRID SPORTS COMPLEX (SSC),Motor Car,21
STARLIGHT ROAD / TERRACE,Motor Car,16
STURDEE ROAD,Motor Car,18
SYED ALWI ROAD (JALAN BESAR / SERANGOON RD),Motor Car,44
SYED ALWI ROAD(JALAN BESAR/ROCHOR CANAL RD),Motor Car,43
TESSENSOHN ROAD,Motor Car,51
UPPER DICKSON ROAD,Motor Car,16
UPPER WELD ROAD,Motor Car,59
VEERASAMY ROAD,Motor Car,42
VERDUN ROAD,Motor Car,7
VERDUN ROAD OFF STREET,Motor Car,18
BACKLANE BET BOON TAT STREET/MCCALLUM STREET,Motor Car,0
BACKLANE BET CECIL STREET/MARKET STREET,Motor Car,0
MARINA VIEW OFF STREET,Motor Car,48
PALMER ROAD,Motor Car,19
PALMER ROAD OFF STREET,Motor Car,46
PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Motor Car,66
JURONG OUTDOOR FUTSAL CENTRE (SSC),Motor Car,58
JURONG STADIUM (SSC),Motor Car,251
CHANGI SOUTH LANE,Motor Car,9
TAMPINES AVENUE 9/ AVENUE 10 HV PARK,Motor Car,0
ANGULLIA PARK OFF STREET,Motor Car,268
CLAYMORE HILL,Motor Car,10
CLAYMORE ROAD,Motor Car,8
BACKLANE BET CRAIG ROAD/DUXTON ROAD,Motor Car,0
BACKLANE BET PECK SEAH STREET/TRAS STREET,Motor Car,0
BACKLANE BET TRAS STREET/COOK STREET,Motor Car,0
BACKLANE OFF COOK STREET,Motor Car,0
BERNAM STREET,Motor Car,9
COOK STREET,Motor Car,5
DUXTON HILL,Motor Car,0
DUXTON ROAD,Motor Car,44
ENGGOR STREET,Motor Car,12
PECK SEAH STREET,Motor Car,4
PECK SEAH STREET OFF STREET,Motor Car,117
TANJONG PAGAR ROAD,Motor Car,26
TRAS STREET,Motor Car,75
WALLICH STREET,Motor Car,9
YAN KIT ROAD,Motor Car,19
YAN KIT ROAD / CANTONMENT ROAD OFF ST,Motor Car,15
AMOY STREET,Motor Car,84
AMOY STREET OFF STREET,Motor Car,16
BACKLANE BET BOON TAT STREET/AMOY STREET,Motor Car,0
BACKLANE OFF AMOY STREET,Motor Car,0
BACKLANE OFF BOON TAT STREET,Motor Car,0
BACKLANE OFF MCCALLUM STREET,Motor Car,0
BOON TAT STREET,Motor Car,19
MCCALLUM STREET,Motor Car,11
STANLEY STREET,Motor Car,26
TELOK AYER STREET,Motor Car,64
JALAN GELENGGANG,Motor Car,9
JALAN KURAS,Motor Car,8
SIN MING DRIVE,Motor Car,30
SIN MING DRIVE OFF STREET,Motor Car,57
SIN MING ROAD HEAVY VEHICLE PARK,Motor Car,0
WHITLEY ROAD / THOMSON ROAD HEAVY VEH PARK,Motor Car,12
TOA PAYOH EAST,Motor Car,0
TOA PAYOH WEST,Motor Car,62
23 TO 27 TUAS AVENUE 13 (JTC),Motor Car,80
TUAS AVENUE 1,Motor Car,10
TUAS AVENUE 11,Motor Car,10
TUAS AVENUE 12,Motor Car,21
TUAS AVENUE 13,Motor Car,16
TUAS AVENUE 18A,Motor Car,32
TUAS AVENUE 3,Motor Car,38
TUAS AVENUE 5,Motor Car,11
TUAS AVENUE 7,Motor Car,44
TUAS AVENUE 9,Motor Car,19
TUAS BASIN CLOSE,Motor Car,5
TUAS DRIVE 1,Motor Car,11
TUAS DRIVE 2,Motor Car,10
TUAS LANE,Motor Car,15
TUAS LINK 2,Motor Car,11
TUAS LINK 4,Motor Car,9
TUAS ROAD,Motor Car,28
TUAS ROAD (JTC),Motor Car,126
TUAS SOUTH AVENUE 1,Motor Car,63
TUAS SOUTH STREET 2,Motor Car,25
TUAS SOUTH STREET 5 (JTC),Motor Car,143
TUAS WEST AVENUE,Motor Car,39
KAKI BUKIT AVENUE 4,Motor Car,16
KAKI BUKIT PLACE,Motor Car,14
KAKI BUKIT ROAD 1,Motor Car,17
KAKI BUKIT ROAD 2,Motor Car,48
KAMPONG UBI INDUSTRIAL ESTATE (JTC),Motor Car,11
KIM CHUAN ROAD,Motor Car,26
NEW INDUSTRIAL ROAD,Motor Car,12
TAI SENG AVENUE,Motor Car,78
TAI SENG DRIVE,Motor Car,8
TAI SENG STREET,Motor Car,17
UBI AVENUE 1,Motor Car,4
UBI AVENUE 3,Motor Car,74
UBI AVENUE 4,Motor Car,10
UBI CRESCENT,Motor Car,17
UBI LINK,Motor Car,15
UBI ROAD 1,Motor Car,26
UBI ROAD 2,Motor Car,35
UBI ROAD 3,Motor Car,29
UBI ROAD 4,Motor Car,17
UBI VIEW,Motor Car,18
CHEONG CHIN NAM ROAD,Motor Car,68
JALAN SEH CHUAN OFF STREET,Motor Car,134
JALAN SEH CHUAN/LORONG KILAT OFF STREET,Motor Car,7
LORONG KILAT,Motor Car,28
SERVICE ROAD OFF UPPER BUKIT TIMAH ROAD,Motor Car,15
UPPER BUKIT TIMAH ROAD,Motor Car,5
ANCHORVALE CRESCENT HEAVY VEHICLE PARK,Motor Car,0
ANCHORVALE ROAD,Motor Car,38
ANCHORVALE STREET,Motor Car,66
BACKLANE OFF FARLEIGH AVENUE,Motor Car,0
BACKLANE OFF SERANGOON GARDEN WAY,Motor Car,0
BRIGHTON CRESCENT,Motor Car,11
BURGHLEY DRIVE SPORTS COMPLEX (SSC),Motor Car,19
FARLEIGH AVENUE,Motor Car,22
FARLEIGH AVENUE OFF STREET,Motor Car,44
KENSINGTON PARK ROAD OFF STREET,Motor Car,30
KENSINGTON PARK ROAD SERVICE ROAD,Motor Car,30
KOVAN ROAD,Motor Car,46
LIM TUA TOW ROAD,Motor Car,6
LIM TUA TOW ROAD OFF STREET,Motor Car,39
MAJU AVENUE,Motor Car,43
MAJU AVENUE SERVICE ROAD,Motor Car,3
PENSHURST PLACE,Motor Car,8
SANDOWN PLACE,Motor Car,4
SERANGOON GARDEN MARKET OFF STREET,Motor Car,107
SERANGOON GARDEN WAY,Motor Car,5
SERANGOON GARDEN WAY SERVICE ROAD,Motor Car,84
SERANGOON SPORTS COMPLEX (SSC),Motor Car,202
SIMON ROAD SERVICE ROAD,Motor Car,10
SOMMERVILLE WALK,Motor Car,8
SUNSHINE TERRACE,Motor Car,10
TAMPINES ROAD HEAVY VEHICLE PARK,Motor Car,0
TAMPINES ROAD/HOUGANG AVE 7 HEAVY VEH PARK,Motor Car,0
TECK CHYE TERRACE,Motor Car,26
UPPER SERANGOON ROAD,Motor Car,13
UPPER SERANGOON ROAD (BARTLEY RD JUNCTION),Motor Car,23
CASUARINA ROAD,Motor Car,10
JALAN KURAS OFF STREET,Motor Car,56
JALAN LEBAN SERVICE ROAD,Motor Car,25
OLD UPPER THOMSON ROAD,Motor Car,54
OLD UPPER THOMSON ROAD OFF STREET,Motor Car,17
SEMBAWANG HILLS FOOD CENTRE OFF STREET,Motor Car,21
SERVICE ROAD OFF SIN MING ROAD,Motor Car,9
TAGORE DRIVE,Motor Car,34
TAGORE INDUSTRIAL AVENUE,Motor Car,81
TAGORE LANE,Motor Car,135
TAGORE ROAD,Motor Car,50
UPPER THOMSON ROAD,Motor Car,7
UPPER THOMSON ROAD (LAKEVIEW ESTATE),Motor Car,12
UPPER THOMSON ROAD OFF STREET,Motor Car,38
15 WOODLANDS LOOP / 22 WOODLANDS LINK (JTC),Motor Car,933
MARSILING CRESCENT,Motor Car,0
MARSILING CRESCENT HEAVY VEHICLE PARK,Motor Car,0
RIVERSIDE ROAD,Motor Car,0
WOODLANDS AVE 9 (WOODLANDS AVE 8/LINK),Motor Car,0
WOODLANDS INDUSTRIAL PARK E 1,Motor Car,20
WOODLANDS INDUSTRIAL PARK E 3,Motor Car,72
WOODLANDS INDUSTRIAL PARK E 5,Motor Car,56
WOODLANDS INDUSTRIAL PARK E 6,Motor Car,11
WOODLANDS INDUSTRIAL PARK E 8,Motor Car,48
WOODLANDS INDUSTRIAL PARK E 9,Motor Car,41
WOODLANDS LINK,Motor Car,34
WOODLANDS LOOP,Motor Car,30
WOODLANDS SECTOR 1,Motor Car,27
WOODLANDS TERRACE,Motor Car,44
WOODLANDS WALK,Motor Car,22
SERVICE ROAD OFF JALAN SELASEH,Motor Car,29
GOODLINK PARK / JALAN MATA AYER OFF STREET,Motor Car,22
YISHUN AVENUE 1,Motor Car,0
"YISHUN AVENUE 1 (FROM BLK 433,LOTS SL1-SL88)",Motor Car,0
YISHUN AVENUE 7,Motor Car,5
YISHUN AVENUE 7 HEAVY VEHICLE PARK,Motor Car,0
YISHUN INDUSTRIAL PARK A,Motor Car,70
YISHUN SPORTS COMPLEX (SSC),Motor Car,243
YISHUN SWIMMING COMPLEX (SSC),Motor Car,15
ANG MO KIO AVENUE 1 HEAVY VEHICLE PARK,Motor Cycle,0
ANG MO KIO STREET 62,Motor Cycle,0
ANG MO KIO STREET 63,Motor Cycle,0
ANG MO KIO STREET 64,Motor Cycle,0
JALAN KAYU OFF STREET,Motor Cycle,18
SELETAR AEROSPACE VIEW,Motor Cycle,20
AYER RAJAH CRESCENT,Motor Cycle,0
BALESTIER ROAD,Motor Cycle,0
BHAMO ROAD,Motor Cycle,0
BOON TECK ROAD,Motor Cycle,0
JALAN AMPAS,Motor Cycle,0
JALAN DUSUN,Motor Cycle,0
JALAN KEMAMAN,Motor Cycle,0
JALAN RAJA UDANG,Motor Cycle,0
JALAN RAMA RAMA,Motor Cycle,0
KIM KEAT CLOSE,Motor Cycle,0
LORONG AMPAS,Motor Cycle,0
MANDALAY ROAD,Motor Cycle,0
MARTABAN ROAD,Motor Cycle,0
MINBU ROAD,Motor Cycle,0
MINBU ROAD OFF STREET,Motor Cycle,12
PROME ROAD,Motor Cycle,0
SERVICE ROAD OFF BALESTIER ROAD,Motor Cycle,0
SHAN ROAD,Motor Cycle,10
SHREWSBURY ROAD,Motor Cycle,0
SHREWSBURY ROAD OFF STREET,Motor Cycle,5
TAN TOCK SENG LINK,Motor Cycle,10
BEDOK ROAD FOOD CENTRE OFF STREET,Motor Cycle,16
BEDOK SOUTH ROAD,Motor Cycle,0
BEDOK SPORTS COMPLEX (SSC),Motor Cycle,139
JALAN LANA,Motor Cycle,0
SERVICE ROAD OFF CHAI CHEE DRIVE,Motor Cycle,0
BENOI ROAD,Motor Cycle,0
BENOI SECTOR,Motor Cycle,0
BISHAN SPORTS COMPLEX (SSC),Motor Cycle,35
BRADDELL ROAD HEAVY VEHICLE PARK,Motor Cycle,0
JALAN BINCHANG,Motor Cycle,0
JALAN PEMIMPIN,Motor Cycle,0
SIN MING WALK,Motor Cycle,0
BACKLANE BET LORONG TELOK/CIRCULAR ROAD,Motor Cycle,13
BACKLANE BET NORTH CANAL ROAD/CIRCULAR RD,Motor Cycle,10
BACKLANE BET SYNAGOGUE STREET/CHURCH STREET,Motor Cycle,9
BACKLANE OFF SYNAGOGUE STREET,Motor Cycle,43
CIRCULAR ROAD,Motor Cycle,0
LORONG TELOK,Motor Cycle,12
PHILLIP STREET,Motor Cycle,0
BUKIT BATOK EAST AVENUE 2 HV PARK,Motor Cycle,0
BUKIT BATOK NATURE PARK OFF STREET,Motor Cycle,6
BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Motor Cycle,0
BUKIT BATOK SWIMMING COMPLEX (SSC),Motor Cycle,6
HILLVIEW TERRACE,Motor Cycle,0
DELTA SPORTS COMPLEX (SSC),Motor Cycle,41
MARITIME SQUARE D OFF STREET,Motor Cycle,414
PRINCE PHILIP AVENUE,Motor Cycle,0
SEAH IM ROAD OFF STREET,Motor Cycle,367
TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,Motor Cycle,0
TELOK BLANGAH HEIGHTS,Motor Cycle,0
TELOK BLANGAH STREET 31,Motor Cycle,0
TIONG BAHRU PARK OFF STREET,Motor Cycle,0
ADAM ROAD / DUNEARN CLOSE OFF STREET,Motor Cycle,10
ADAM ROAD FOOD CENTRE OFF STREET,Motor Cycle,14
ANAMALAI AVENUE,Motor Cycle,0
ANTHONY ROAD OFF STREET,Motor Cycle,0
BUKIT TIMAH LINK OFF STREET,Motor Cycle,8
BUKIT TIMAH MARKET OFF STREET,Motor Cycle,26
BUKIT TIMAH ROAD,Motor Cycle,0
CAIRNHILL ROAD SERVICE ROAD,Motor Cycle,0
CLEMENCEAU AVENUE,Motor Cycle,0
CLEMENCEAU AVENUE NORTH (NEWTON FC),Motor Cycle,24
CORONATION WALK,Motor Cycle,0
DAIRY FARM ROAD / PETIR ROAD HV PARK,Motor Cycle,0
DUNEARN CLOSE,Motor Cycle,0
KAMPONG JAVA FRINGE CAR PARK,Motor Cycle,0
KAMPONG JAVA ROAD,Motor Cycle,0
MAKEWAY AVENUE,Motor Cycle,0
PRINCE OF WALES ROAD,Motor Cycle,0
PRINCESS OF WALES ROAD,Motor Cycle,0
SIXTH AVENUE,Motor Cycle,0
STEVENS ROAD,Motor Cycle,0
3 CHANGI SOUTH AVENUE 4 (JTC),Motor Cycle,0
"BLK 20,22,24,26,28,30 CHANGI NORTH WAY (JTC)",Motor Cycle,0
"BLK 49,51,55,61,65 CHANGI NORTH CRES(JTC)",Motor Cycle,18
CHANGI BEACH PARK CP 1,Motor Cycle,0
CHANGI BEACH PARK CP 2,Motor Cycle,0
CHANGI BEACH PARK CP 3,Motor Cycle,0
CHANGI BEACH PARK CP 4,Motor Cycle,0
CHANGI BEACH PARK CP 5,Motor Cycle,0
CHANGI BEACH PARK CP 6,Motor Cycle,0
CHANGI NORTH CRESCENT,Motor Cycle,0
CHANGI NORTH RISE,Motor Cycle,0
CHANGI NORTH STREET 1,Motor Cycle,0
CHANGI NORTH STREET 2,Motor Cycle,0
CHANGI ROAD (BET JALAN KEMBANGAN/STILL ROAD),Motor Cycle,0
CHANGI ROAD (BET JOO CHIAT ROAD/STILL ROAD),Motor Cycle,10
CHANGI ROAD / JALAN WAKAFF OFF STREET,Motor Cycle,0
CHANGI ROAD OFF STREET,Motor Cycle,0
CHANGI ROAD SERVICE ROAD,Motor Cycle,0
CHANGI SOUTH AVENUE 2,Motor Cycle,18
CHANGI SOUTH AVENUE 4,Motor Cycle,6
CHANGI SOUTH STREET 1,Motor Cycle,0
CHANGI SOUTH STREET 2,Motor Cycle,20
CHANGI VILLAGE ROAD,Motor Cycle,18
EVERITT ROAD NORTH,Motor Cycle,5
JALAN LAPANG,Motor Cycle,0
JALAN MASJID,Motor Cycle,0
JALAN UBI,Motor Cycle,0
KAMPONG EUNOS,Motor Cycle,0
LANGSAT ROAD,Motor Cycle,0
LORONG 102 CHANGI,Motor Cycle,0
LORONG 104 CHANGI,Motor Cycle,0
LORONG 105 CHANGI,Motor Cycle,0
LORONG 106 CHANGI,Motor Cycle,0
LORONG 107 CHANGI,Motor Cycle,0
LORONG 108 CHANGI,Motor Cycle,4
LORONG BEKUKONG OFF STREET,Motor Cycle,28
LORONG MARICAN,Motor Cycle,0
LORONG MARZUKI,Motor Cycle,0
LORONG MELAYU,Motor Cycle,0
LORONG MYDIN,Motor Cycle,0
LORONG MYDIN OFF STREET,Motor Cycle,0
LORONG SARINA,Motor Cycle,0
NETHERAVON ROAD,Motor Cycle,5
SERVICE ROAD OFF JALAN MASJID,Motor Cycle,0
SIMS AVENUE (PAYA LEBAR RD/EUNOS RD),Motor Cycle,0
UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,Motor Cycle,8
45 QUALITY ROAD (JTC),Motor Cycle,4
CHIA PING ROAD,Motor Cycle,0
CHIN BEE DRIVE,Motor Cycle,0
CHIN BEE ROAD,Motor Cycle,0
FOURTH CHIN BEE ROAD,Motor Cycle,0
JALAN BESUT,Motor Cycle,0
JALAN TUKANG,Motor Cycle,0
JOO YEE ROAD,Motor Cycle,0
LINK ROAD,Motor Cycle,0
QUALITY ROAD,Motor Cycle,0
SECOND CHIN BEE ROAD,Motor Cycle,0
SERVICE ROAD OFF QUALITY ROAD,Motor Cycle,11
THIRD CHIN BEE ROAD,Motor Cycle,0
CHOA CHU KANG WAY,Motor Cycle,0
SERVICE ROAD OFF CHOA CHU KANG AVE 1,Motor Cycle,22
STAGMONT RING HEAVY VEHICLE PARK,Motor Cycle,0
WOODLANDS ROAD LORRY PARK,Motor Cycle,0
BACKLANE BET ONAN ROAD / JOO CHIAT ROAD,Motor Cycle,6
CEYLON LANE,Motor Cycle,0
CEYLON ROAD,Motor Cycle,0
CRANE ROAD,Motor Cycle,0
DUNMAN ROAD FOOD CENTRE OFF STREET,Motor Cycle,1
EAN KIAM PLACE,Motor Cycle,0
EAST COAST PARK E1 OFF STREET,Motor Cycle,23
EAST COAST PARK E2 OFF STREET,Motor Cycle,38
EAST COAST PARK E3 OFF STREET,Motor Cycle,2
EAST COAST PARK SERVICE ROAD,Motor Cycle,0
EAST COAST ROAD (BET FRANKEL AVE/SIGLAP RD),Motor Cycle,0
EAST COAST ROAD (BET SIGLAP RD/JALAN JAMAL),Motor Cycle,0
EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),Motor Cycle,17
EVERITT ROAD,Motor Cycle,4
FORT ROAD/EAST COAST PARK HV PARK,Motor Cycle,0
JAGO CLOSE,Motor Cycle,0
JOO CHIAT LANE,Motor Cycle,0
JOO CHIAT PLACE,Motor Cycle,4
JOO CHIAT ROAD (CHANGI ROAD/EAST COAST ROAD),Motor Cycle,13
JOO CHIAT ROAD OFF STREET,Motor Cycle,36
JOO CHIAT TERRACE (JOO CHIAT RD/TEMBELING RD),Motor Cycle,4
LORONG 101 CHANGI,Motor Cycle,2
MARSHALL ROAD,Motor Cycle,7
ONAN ROAD,Motor Cycle,5
ONAN ROAD / JOO CHIAT ROAD OFF STREET,Motor Cycle,0
ONAN ROAD OFF STREET,Motor Cycle,2
PENNEFATHER ROAD,Motor Cycle,0
SERVICE ROAD OFF JOO CHIAT ROAD,Motor Cycle,0
SERVICE ROAD OFF ONAN ROAD,Motor Cycle,10
SERVICE ROAD OFF UPPER EAST COAST ROAD,Motor Cycle,0
SIGLAP LINK,Motor Cycle,0
TANJONG KATONG RD OFF ST (OPP WILKINSON RD),Motor Cycle,7
TANJONG KATONG ROAD OFF STREET,Motor Cycle,21
TELOK KURAU ROAD,Motor Cycle,0
TEMBELING ROAD,Motor Cycle,0
TEMBELING ROAD OFF STREET,Motor Cycle,23
UPPER EAST COAST ROAD OFF STREET,Motor Cycle,0
ALJUNIED ROAD OFF STREET,Motor Cycle,0
AROOZOO AVENUE,Motor Cycle,0
CEYLON ROAD OFF STREET,Motor Cycle,0
GEYLANG EAST SERVICE ROAD,Motor Cycle,5
GEYLANG EAST SWIMMING COMPLEX (SSC),Motor Cycle,3
GEYLANG ROAD,Motor Cycle,0
GUILLEMARD ROAD,Motor Cycle,0
JALAN AYER,Motor Cycle,0
KAMPONG BUGIS,Motor Cycle,0
KAMPONG BUGIS OFF STREET,Motor Cycle,10
LORONG 1 GEYLANG ROAD OFF STREET,Motor Cycle,0
LORONG 11 GEYLANG,Motor Cycle,0
LORONG 12 GEYLANG,Motor Cycle,0
LORONG 13 GEYLANG,Motor Cycle,0
LORONG 14 GEYLANG,Motor Cycle,0
LORONG 15 GEYLANG,Motor Cycle,0
LORONG 16 GEYLANG,Motor Cycle,0
LORONG 17 GEYLANG,Motor Cycle,0
LORONG 18 GEYLANG,Motor Cycle,0
LORONG 19 GEYLANG,Motor Cycle,0
LORONG 20 GEYLANG,Motor Cycle,0
LORONG 21 GEYLANG,Motor Cycle,0
LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,Motor Cycle,0
LORONG 21 GEYLANG OFF STREET,Motor Cycle,14
LORONG 21A GEYLANG,Motor Cycle,0
LORONG 23 GEYLANG,Motor Cycle,0
LORONG 24 GEYLANG,Motor Cycle,0
LORONG 24A GEYLANG,Motor Cycle,0
LORONG 25 GEYLANG,Motor Cycle,0
LORONG 25/25A GEYLANG OFF STREET,Motor Cycle,12
LORONG 25A GEYLANG,Motor Cycle,0
LORONG 26 GEYLANG,Motor Cycle,0
LORONG 27 GEYLANG,Motor Cycle,0
LORONG 27A GEYLANG,Motor Cycle,0
LORONG 28 GEYLANG,Motor Cycle,0
LORONG 28 SERVICE ROAD GEYLANG,Motor Cycle,0
LORONG 29 GEYLANG,Motor Cycle,0
LORONG 3 GEYLANG,Motor Cycle,0
LORONG 30 GEYLANG,Motor Cycle,0
LORONG 31 GEYLANG,Motor Cycle,0
LORONG 31 GEYLANG OFF STREET,Motor Cycle,21
LORONG 32 GEYLANG,Motor Cycle,0
LORONG 33 GEYLANG,Motor Cycle,0
LORONG 34 GEYLANG,Motor Cycle,0
LORONG 35 GEYLANG,Motor Cycle,0
LORONG 36 GEYLANG,Motor Cycle,0
LORONG 36 GEYLANG OFF STREET,Motor Cycle,0
LORONG 37 GEYLANG,Motor Cycle,0
LORONG 37 GEYLANG OFF STREET,Motor Cycle,17
LORONG 38 GEYLANG,Motor Cycle,0
LORONG 39 GEYLANG,Motor Cycle,0
LORONG 39 SERVICE ROAD GEYLANG,Motor Cycle,0
LORONG 4 GEYLANG,Motor Cycle,0
LORONG 40 GEYLANG,Motor Cycle,0
LORONG 41 GEYLANG,Motor Cycle,0
LORONG 6 GEYLANG,Motor Cycle,0
LORONG 7 GEYLANG,Motor Cycle,0
LORONG 8 GEYLANG,Motor Cycle,0
LORONG 9 GEYLANG,Motor Cycle,0
LORONG 9/11 GEYLANG OFF STREET,Motor Cycle,9
LORONG BACHOK,Motor Cycle,0
LORONG BACHOK OFF STREET,Motor Cycle,6
LORONG TAHAR,Motor Cycle,0
SERVICE ROAD OFF LORONG 44 GEYLANG,Motor Cycle,0
SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),Motor Cycle,0
SIMS AVENUE SERVICE ROAD,Motor Cycle,0
SIMS PLACE,Motor Cycle,0
TALMA ROAD,Motor Cycle,0
TANJONG KATONG COMPLEX,Motor Cycle,72
WESTERHOUT ROAD,Motor Cycle,0
GUL AVENUE,Motor Cycle,0
GUL CIRCLE,Motor Cycle,0
GUL CRESCENT,Motor Cycle,0
GUL DRIVE,Motor Cycle,0
GUL LANE,Motor Cycle,0
GUL ROAD,Motor Cycle,165
GUL STREET 1,Motor Cycle,0
GUL STREET 2,Motor Cycle,0
GUL STREET 3,Motor Cycle,0
GUL STREET 4,Motor Cycle,0
GUL STREET 5,Motor Cycle,0
DELTA CIRCUS FRINGE CAR PARK,Motor Cycle,40
HAVELOCK ROAD,Motor Cycle,15
OUTRAM HILL,Motor Cycle,10
OUTRAM ROAD,Motor Cycle,0
OUTRAM ROAD OFF STREET,Motor Cycle,6
PEARL BANK OFF STREET,Motor Cycle,12
ARMENIAN ST / CANNING RISE OFF ST CAR PARK,Motor Cycle,0
ARMENIAN STREET,Motor Cycle,0
ARMENIAN STREET OFF STREET,Motor Cycle,8
CANNING RISE OFF STREET,Motor Cycle,13
FORT CANNING PARK A OFF STREET,Motor Cycle,5
FORT CANNING PARK B OFF STREET,Motor Cycle,12
FORT CANNING PARK C OFF STREET,Motor Cycle,0
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,Motor Cycle,16
HOLLAND DRIVE OFF STREET,Motor Cycle,42
JALAN HITAM MANIS,Motor Cycle,0
JALAN KELABU ASAP,Motor Cycle,0
JALAN KUNING,Motor Cycle,0
JALAN MERAH SAGA,Motor Cycle,0
JALAN PUTEH JERNEH,Motor Cycle,0
