ura_carpark_name,type_of_lot,number_of_lots,lot_type
JALAN PENJARA,Motor Car,17,C
JALAN PENJARA OFF STREET,Motor Car,43,C
KUNG CHONG ROAD,Motor Car,33,C
LENG KEE ROAD,Motor Car,26,C
MARGARET DRIVE OFF STREET,Motor Car,52,C
QUEEN'S CRESCENT HEAVY VEHICLE PARK,Motor Car,0,C
QUEENSTOWN SPORTS COMPLEX (SSC),Motor Car,18,C
QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),Motor Car,71,C
TANGLIN HALT CLOSE,Motor Car,37,C
CLEMENCEAU AVENUE OFF STREET,Motor Car,31,C
KELLOCK ROAD,Motor Car,28,C
KIM YAM ROAD,Motor Car,28,C
MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,Motor Car,25,C
MOHAMED SULTAN ROAD,Motor Car,88,C
MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,Motor Car,18,C
RIVER VALLEY ROAD(BET TANK RD/ZION RD),Motor Car,3,C
SERVICE ROAD OFF ZION ROAD,Motor Car,21,C
TAN TYE PLACE,Motor Car,0,C
TANK ROAD,Motor Car,18,C
UNITY STREET,Motor Car,20,C
ZION CLOSE,Motor Car,8,C
ZION ROAD,Motor Car,25,C
ZION ROAD OFF STREET,Motor Car,12,C
BACKLANE BET MIDDLE ROAD/LIANG SEAH STREET,Motor Car,0,C
BACKLANE OFF PURVIS STREET,Motor Car,0,C
BACKLANE OFF SEAH STREET,Motor Car,0,C
CHENG YAN PLACE,Motor Car,4,C
LIANG SEAH STREET,Motor Car,48,C
LIANG SEAH STREET OFF STREET,Motor Car,50,C
MACKENZIE ROAD,Motor Car,6,C
MACKENZIE ROAD A OFF STREET,Motor Car,111,C
MACKENZIE ROAD B OFF STREET,Motor Car,82,C
MACKENZIE ROAD C OFF STREET,Motor Car,6,C
MANILA STREET,Motor Car,6,C
MAYNE ROAD,Motor Car,6,C
MIDDLE ROAD OFF STREET,Motor Car,13,C
MOUNT EMILY ROAD,Motor Car,2,C
NIVEN ROAD,Motor Car,15,C
PRINSEP STREET (MIDDLE/ROCHOR CANAL),Motor Car,47,C
PURVIS STREET,Motor Car,44,C
QUEEN STREET,Motor Car,6,C
QUEEN STREET (ARAB STREET / ROCHOR ROAD),Motor Car,22,C
QUEEN STREET / ROCHOR ROAD OFF STREET,Motor Car,189,C
QUEEN STREET OFF STREET,Motor Car,91,C
SEAH STREET,Motor Car,8,C
SERVICE ROAD OFF QUEEN ST(QUEEN/WATERLOO ST),Motor Car,8,C
SHORT STREET,Motor Car,18,C
SOPHIA ROAD,Motor Car,5,C
TAN QUEE LAN STREET,Motor Car,73,C
WATERLOO STREET,Motor Car,13,C
WILKIE ROAD,Motor Car,16,C
JALAN DERUM,Motor Car,2,C
JALAN LEGUNDI,Motor Car,24,C
JALAN TAMPANG,Motor Car,19,C
SEMBAWANG DRIVE HEAVY VEHICLE PARK,Motor Car,0,C
SEMBAWANG RD/ADMIRALTY RD EAST OFF STREET,Motor Car,39,C
SEMBAWANG ROAD OFF STREET,Motor Car,75,C
SEMBONG ROAD,Motor Car,3,C
SENOKO AVENUE,Motor Car,26,C
SENOKO DRIVE,Motor Car,40,C
SENOKO ROAD,Motor Car,25,C
SENOKO SOUTH ROAD,Motor Car,26,C
SENOKO WAY,Motor Car,31,C
SERVICE ROAD OFF SEMBAWANG ROAD,Motor Car,5,C
SENGKANG EAST AND WEST WAY,Motor Car,0,C
BACKLANE BET CLIVE STREET/MADRAS STREET,Motor Car,0,C
BACKLANE BET CUFF ROAD /VEERASAMY ROAD,Motor Car,0,C
BACKLANE BET DICKSON ROAD/DUNLOP STREET,Motor Car,0,C
BACKLANE BET DICKSON ROAD/UPPER WELD ROAD,Motor Car,0,C
BACKLANE BET HINDOO ROAD/ROWELL ROAD,Motor Car,0,C
BACKLANE BET KAMPONG KAPOR/UPPER DICKSON RD,Motor Car,0,C
BACKLANE BET MAYO STREET/DUNLOP STREET,Motor Car,0,C
BACKLANE BET PERAK ROAD/MADRAS STREET,Motor Car,0,C
BACKLANE OFF DESKER ROAD,Motor Car,0,C
BACKLANE OFF ROWELL ROAD,Motor Car,0,C
BACKLANE OFF SAM LEONG ROAD,Motor Car,0,C
BACKLANE OFF SAM LEONG ROAD/JALAN BESAR,Motor Car,0,C
BACKLANE OFF STURDEE ROAD,Motor Car,0,C
BEATTY ROAD,Motor Car,32,C
BEATTY ROAD OFF STREET,Motor Car,17,C
BELILIOS LANE OFF STREET,Motor Car,35,C
BENG WAN ROAD OFF STREET,Motor Car,41,C
BIRCH ROAD,Motor Car,17,C
BUFFALO ROAD SERVICE ROAD,Motor Car,18,C
CAMPBELL LANE,Motor Car,9,C
CHANDER ROAD,Motor Car,14,C
CLIVE STREET,Motor Car,16,C
CUFF ROAD,Motor Car,40,C
DALHOUSIE LANE,Motor Car,4,C
DESKER ROAD,Motor Car,87,C
DICKSON ROAD,Motor Car,40,C
DICKSON ROAD OFF STREET,Motor Car,43,C
DUNLOP STREET,Motor Car,55,C
FARRER PARK SQUASH & TENNIS CENTRE (SSC),Motor Car,48,C
FLANDERS SQUARE,Motor Car,12,C
HINDOO ROAD,Motor Car,36,C
HINDOO ROAD OFF STREET,Motor Car,12,C
HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,Motor Car,13,C
JALAN BESAR / BEATTY ROAD OFF STREET,Motor Car,45,C
JALAN SEMERBAK,Motor Car,5,C
JOO AVENUE,Motor Car,28,C
KAMPONG KAPOR ROAD,Motor Car,26,C
KAMPONG KAPOR ROAD OFF STREET,Motor Car,57,C
KERBAU ROAD,Motor Car,11,C
KINTA ROAD,Motor Car,8,C
KINTA ROAD OFF STREET,Motor Car,122,C
KITCHENER ROAD,Motor Car,12,C
LEMBU ROAD,Motor Car,19,C
MAYO STREET,Motor Car,35,C
MOONSTONE LANE,Motor Car,30,C
NORRIS ROAD,Motor Car,26,C
OPAL CRESCENT,Motor Car,46,C
OWEN ROAD (SERANGOON/ RACE COURSE ROAD),Motor Car,2,C
OWEN ROAD/ DORSET ROAD / CAMBRIDGE ROAD,Motor Car,13,C
PERAK ROAD,Motor Car,11,C
PERUMAL ROAD,Motor Car,8,C
PETAIN ROAD (SERANGOON ROAD / JALAN BESAR),Motor Car,62,C
PETAIN ROAD OFF STREET,Motor Car,15,C
RACE COURSE LANE,Motor Car,7,C
RACE COURSE ROAD,Motor Car,68,C
RACE COURSE ROAD (BET BT TIMAH / RANGOON RD),Motor Car,36,C
RACE COURSE ROAD / NORTHUMBERLAND ROAD,Motor Car,126,C
RANGOON LANE,Motor Car,3,C
RANGOON LANE OFF STREET,Motor Car,22,C
RANGOON ROAD,Motor Car,77,C
ROBERTS LANE,Motor Car,39,C
ROWELL ROAD,Motor Car,89,C
RUBY LANE,Motor Car,19,C
SAM LEONG ROAD,Motor Car,46,C
SERANGOON RD(KITCHENER RD/LAVENDER ST),Motor Car,46,C
SERVICE ROAD OFF JALAN KELULUT,Motor Car,27,C
SING AVENUE,Motor Car,17,C
SING JOO WALK,Motor Car,9,C
SOMME ROAD,Motor Car,13,C
ST WILFRID SPORTS COMPLEX (SSC),Motor Car,21,C
STARLIGHT ROAD / TERRACE,Motor Car,16,C
STURDEE ROAD,Motor Car,18,C
SYED ALWI ROAD (JALAN BESAR / SERANGOON RD),Motor Car,44,C
SYED ALWI ROAD(JALAN BESAR/ROCHOR CANAL RD),Motor Car,43,C
TESSENSOHN ROAD,Motor Car,51,C
UPPER DICKSON ROAD,Motor Car,16,C
UPPER WELD ROAD,Motor Car,59,C
VEERASAMY ROAD,Motor Car,42,C
VERDUN ROAD,Motor Car,7,C
VERDUN ROAD OFF STREET,Motor Car,18,C
BACKLANE BET BOON TAT STREET/MCCALLUM STREET,Motor Car,0,C
BACKLANE BET CECIL STREET/MARKET STREET,Motor Car,0,C
MARINA VIEW OFF STREET,Motor Car,48,C
PALMER ROAD,Motor Car,19,C
PALMER ROAD OFF STREET,Motor Car,46,C
PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Motor Car,66,C
JURONG OUTDOOR FUTSAL CENTRE (SSC),Motor Car,58,C
JURONG STADIUM (SSC),Motor Car,251,C
CHANGI SOUTH LANE,Motor Car,9,C
TAMPINES AVENUE 9/ AVENUE 10 HV PARK,Motor Car,0,C
ANGULLIA PARK OFF STREET,Motor Car,268,C
CLAYMORE HILL,Motor Car,10,C
CLAYMORE ROAD,Motor Car,8,C
BACKLANE BET CRAIG ROAD/DUXTON ROAD,Motor Car,0,C
BACKLANE BET PECK SEAH STREET/TRAS STREET,Motor Car,0,C
BACKLANE BET TRAS STREET/COOK STREET,Motor Car,0,C
BACKLANE OFF COOK STREET,Motor Car,0,C
BERNAM STREET,Motor Car,9,C
COOK STREET,Motor Car,5,C
DUXTON HILL,Motor Car,0,C
DUXTON ROAD,Motor Car,44,C
ENGGOR STREET,Motor Car,12,C
PECK SEAH STREET,Motor Car,4,C
PECK SEAH STREET OFF STREET,Motor Car,117,C
TANJONG PAGAR ROAD,Motor Car,26,C
TRAS STREET,Motor Car,75,C
WALLICH STREET,Motor Car,9,C
YAN KIT ROAD,Motor Car,19,C
YAN KIT ROAD / CANTONMENT ROAD OFF ST,Motor Car,15,C
AMOY STREET,Motor Car,84,C
AMOY STREET OFF STREET,Motor Car,16,C
BACKLANE BET BOON TAT STREET/AMOY STREET,Motor Car,0,C
BACKLANE OFF AMOY STREET,Motor Car,0,C
BACKLANE OFF BOON TAT STREET,Motor Car,0,C
BACKLANE OFF MCCALLUM STREET,Motor Car,0,C
BOON TAT STREET,Motor Car,19,C
MCCALLUM STREET,Motor Car,11,C
STANLEY STREET,Motor Car,26,C
TELOK AYER STREET,Motor Car,64,C
JALAN GELENGGANG,Motor Car,9,C
JALAN KURAS,Motor Car,8,C
SIN MING DRIVE,Motor Car,30,C
SIN MING DRIVE OFF STREET,Motor Car,57,C
SIN MING ROAD HEAVY VEHICLE PARK,Motor Car,0,C
WHITLEY ROAD / THOMSON ROAD HEAVY VEH PARK,Motor Car,12,C
TOA PAYOH EAST,Motor Car,0,C
TOA PAYOH WEST,Motor Car,62,C
23 TO 27 TUAS AVENUE 13 (JTC),Motor Car,80,C
TUAS AVENUE 1,Motor Car,10,C
TUAS AVENUE 11,Motor Car,10,C
TUAS AVENUE 12,Motor Car,21,C
TUAS AVENUE 13,Motor Car,16,C
TUAS AVENUE 18A,Motor Car,32,C
TUAS AVENUE 3,Motor Car,38,C
TUAS AVENUE 5,Motor Car,11,C
TUAS AVENUE 7,Motor Car,44,C
TUAS AVENUE 9,Motor Car,19,C
TUAS BASIN CLOSE,Motor Car,5,C
TUAS DRIVE 1,Motor Car,11,C
TUAS DRIVE 2,Motor Car,10,C
TUAS LANE,Motor Car,15,C
TUAS LINK 2,Motor Car,11,C
TUAS LINK 4,Motor Car,9,C
TUAS ROAD,Motor Car,28,C
TUAS ROAD (JTC),Motor Car,126,C
TUAS SOUTH AVENUE 1,Motor Car,63,C
TUAS SOUTH STREET 2,Motor Car,25,C
TUAS SOUTH STREET 5 (JTC),Motor Car,143,C
TUAS WEST AVENUE,Motor Car,39,C
KAKI BUKIT AVENUE 4,Motor Car,16,C
KAKI BUKIT PLACE,Motor Car,14,C
KAKI BUKIT ROAD 1,Motor Car,17,C
KAKI BUKIT ROAD 2,Motor Car,48,C
KAMPONG UBI INDUSTRIAL ESTATE (JTC),Motor Car,11,C
KIM CHUAN ROAD,Motor Car,26,C
NEW INDUSTRIAL ROAD,Motor Car,12,C
TAI SENG AVENUE,Motor Car,78,C
TAI SENG DRIVE,Motor Car,8,C
TAI SENG STREET,Motor Car,17,C
UBI AVENUE 1,Motor Car,4,C
UBI AVENUE 3,Motor Car,74,C
UBI AVENUE 4,Motor Car,10,C
UBI CRESCENT,Motor Car,17,C
UBI LINK,Motor Car,15,C
UBI ROAD 1,Motor Car,26,C
UBI ROAD 2,Motor Car,35,C
UBI ROAD 3,Motor Car,29,C
UBI ROAD 4,Motor Car,17,C
UBI VIEW,Motor Car,18,C
CHEONG CHIN NAM ROAD,Motor Car,68,C
JALAN SEH CHUAN OFF STREET,Motor Car,134,C
JALAN SEH CHUAN/LORONG KILAT OFF STREET,Motor Car,7,C
LORONG KILAT,Motor Car,28,C
SERVICE ROAD OFF UPPER BUKIT TIMAH ROAD,Motor Car,15,C
UPPER BUKIT TIMAH ROAD,Motor Car,5,C
ANCHORVALE CRESCENT HEAVY VEHICLE PARK,Motor Car,0,C
ANCHORVALE ROAD,Motor Car,38,C
ANCHORVALE STREET,Motor Car,66,C
BACKLANE OFF FARLEIGH AVENUE,Motor Car,0,C
BACKLANE OFF SERANGOON GARDEN WAY,Motor Car,0,C
BRIGHTON CRESCENT,Motor Car,11,C
BURGHLEY DRIVE SPORTS COMPLEX (SSC),Motor Car,19,C
FARLEIGH AVENUE,Motor Car,22,C
FARLEIGH AVENUE OFF STREET,Motor Car,44,C
KENSINGTON PARK ROAD OFF STREET,Motor Car,30,C
KENSINGTON PARK ROAD SERVICE ROAD,Motor Car,30,C
KOVAN ROAD,Motor Car,46,C
LIM TUA TOW ROAD,Motor Car,6,C
LIM TUA TOW ROAD OFF STREET,Motor Car,39,C
MAJU AVENUE,Motor Car,43,C
MAJU AVENUE SERVICE ROAD,Motor Car,3,C
PENSHURST PLACE,Motor Car,8,C
SANDOWN PLACE,Motor Car,4,C
SERANGOON GARDEN MARKET OFF STREET,Motor Car,107,C
SERANGOON GARDEN WAY,Motor Car,5,C
SERANGOON GARDEN WAY SERVICE ROAD,Motor Car,84,C
SERANGOON SPORTS COMPLEX (SSC),Motor Car,202,C
SIMON ROAD SERVICE ROAD,Motor Car,10,C
SOMMERVILLE WALK,Motor Car,8,C
SUNSHINE TERRACE,Motor Car,10,C
TAMPINES ROAD HEAVY VEHICLE PARK,Motor Car,0,C
TAMPINES ROAD/HOUGANG AVE 7 HEAVY VEH PARK,Motor Car,0,C
TECK CHYE TERRACE,Motor Car,26,C
UPPER SERANGOON ROAD,Motor Car,13,C
UPPER SERANGOON ROAD (BARTLEY RD JUNCTION),Motor Car,23,C
CASUARINA ROAD,Motor Car,10,C
JALAN KURAS OFF STREET,Motor Car,56,C
JALAN LEBAN SERVICE ROAD,Motor Car,25,C
OLD UPPER THOMSON ROAD,Motor Car,54,C
OLD UPPER THOMSON ROAD OFF STREET,Motor Car,17,C
SEMBAWANG HILLS FOOD CENTRE OFF STREET,Motor Car,21,C
SERVICE ROAD OFF SIN MING ROAD,Motor Car,9,C
TAGORE DRIVE,Motor Car,34,C
TAGORE INDUSTRIAL AVENUE,Motor Car,81,C
TAGORE LANE,Motor Car,135,C
TAGORE ROAD,Motor Car,50,C
UPPER THOMSON ROAD,Motor Car,7,C
UPPER THOMSON ROAD (LAKEVIEW ESTATE),Motor Car,12,C
UPPER THOMSON ROAD OFF STREET,Motor Car,38,C
15 WOODLANDS LOOP / 22 WOODLANDS LINK (JTC),Motor Car,933,C
MARSILING CRESCENT,Motor Car,0,C
MARSILING CRESCENT HEAVY VEHICLE PARK,Motor Car,0,C
RIVERSIDE ROAD,Motor Car,0,C
WOODLANDS AVE 9 (WOODLANDS AVE 8/LINK),Motor Car,0,C
WOODLANDS INDUSTRIAL PARK E 1,Motor Car,20,C
WOODLANDS INDUSTRIAL PARK E 3,Motor Car,72,C
WOODLANDS INDUSTRIAL PARK E 5,Motor Car,56,C
WOODLANDS INDUSTRIAL PARK E 6,Motor Car,11,C
WOODLANDS INDUSTRIAL PARK E 8,Motor Car,48,C
WOODLANDS INDUSTRIAL PARK E 9,Motor Car,41,C
WOODLANDS LINK,Motor Car,34,C
WOODLANDS LOOP,Motor Car,30,C
WOODLANDS SECTOR 1,Motor Car,27,C
WOODLANDS TERRACE,Motor Car,44,C
WOODLANDS WALK,Motor Car,22,C
SERVICE ROAD OFF JALAN SELASEH,Motor Car,29,C
GOODLINK PARK / JALAN MATA AYER OFF STREET,Motor Car,22,C
YISHUN AVENUE 1,Motor Car,0,C
"YISHUN AVENUE 1 (FROM BLK 433,LOTS SL1-SL88)",Motor Car,0,C
YISHUN AVENUE 7,Motor Car,5,C
YISHUN AVENUE 7 HEAVY VEHICLE PARK,Motor Car,0,C
YISHUN INDUSTRIAL PARK A,Motor Car,70,C
YISHUN SPORTS COMPLEX (SSC),Motor Car,243,C
YISHUN SWIMMING COMPLEX (SSC),Motor Car,15,C
ANG MO KIO AVENUE 1 HEAVY VEHICLE PARK,Motor Cycle,0,Y
ANG MO KIO STREET 62,Motor Cycle,0,Y
ANG MO KIO STREET 63,Motor Cycle,0,Y
ANG MO KIO STREET 64,Motor Cycle,0,Y
JALAN KAYU OFF STREET,Motor Cycle,18,Y
SELETAR AEROSPACE VIEW,Motor Cycle,20,Y
AYER RAJAH CRESCENT,Motor Cycle,0,Y
BALESTIER ROAD,Motor Cycle,0,Y
BHAMO ROAD,Motor Cycle,0,Y
BOON TECK ROAD,Motor Cycle,0,Y
JALAN AMPAS,Motor Cycle,0,Y
JALAN DUSUN,Motor Cycle,0,Y
JALAN KEMAMAN,Motor Cycle,0,Y
JALAN RAJA UDANG,Motor Cycle,0,Y
JALAN RAMA RAMA,Motor Cycle,0,Y
KIM KEAT CLOSE,Motor Cycle,0,Y
LORONG AMPAS,Motor Cycle,0,Y
MANDALAY ROAD,Motor Cycle,0,Y
MARTABAN ROAD,Motor Cycle,0,Y
MINBU ROAD,Motor Cycle,0,Y
MINBU ROAD OFF STREET,Motor Cycle,12,Y
PROME ROAD,Motor Cycle,0,Y
SERVICE ROAD OFF BALESTIER ROAD,Motor Cycle,0,Y
SHAN ROAD,Motor Cycle,10,Y
SHREWSBURY ROAD,Motor Cycle,0,Y
SHREWSBURY ROAD OFF STREET,Motor Cycle,5,Y
TAN TOCK SENG LINK,Motor Cycle,10,Y
BEDOK ROAD FOOD CENTRE OFF STREET,Motor Cycle,16,Y
BEDOK SOUTH ROAD,Motor Cycle,0,Y
BEDOK SPORTS COMPLEX (SSC),Motor Cycle,139,Y
JALAN LANA,Motor Cycle,0,Y
SERVICE ROAD OFF CHAI CHEE DRIVE,Motor Cycle,0,Y
BENOI ROAD,Motor Cycle,0,Y
BENOI SECTOR,Motor Cycle,0,Y
BISHAN SPORTS COMPLEX (SSC),Motor Cycle,35,Y
BRADDELL ROAD HEAVY VEHICLE PARK,Motor Cycle,0,Y
JALAN BINCHANG,Motor Cycle,0,Y
JALAN PEMIMPIN,Motor Cycle,0,Y
SIN MING WALK,Motor Cycle,0,Y
BACKLANE BET LORONG TELOK/CIRCULAR ROAD,Motor Cycle,13,Y
BACKLANE BET NORTH CANAL ROAD/CIRCULAR RD,Motor Cycle,10,Y
BACKLANE BET SYNAGOGUE STREET/CHURCH STREET,Motor Cycle,9,Y
BACKLANE OFF SYNAGOGUE STREET,Motor Cycle,43,Y
CIRCULAR ROAD,Motor Cycle,0,Y
LORONG TELOK,Motor Cycle,12,Y
PHILLIP STREET,Motor Cycle,0,Y
BUKIT BATOK EAST AVENUE 2 HV PARK,Motor Cycle,0,Y
BUKIT BATOK NATURE PARK OFF STREET,Motor Cycle,6,Y
BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Motor Cycle,0,Y
BUKIT BATOK SWIMMING COMPLEX (SSC),Motor Cycle,6,Y
HILLVIEW TERRACE,Motor Cycle,0,Y
DELTA SPORTS COMPLEX (SSC),Motor Cycle,41,Y
MARITIME SQUARE D OFF STREET,Motor Cycle,414,Y
PRINCE PHILIP AVENUE,Motor Cycle,0,Y
SEAH IM ROAD OFF STREET,Motor Cycle,367,Y
TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,Motor Cycle,0,Y
TELOK BLANGAH HEIGHTS,Motor Cycle,0,Y
TELOK BLANGAH STREET 31,Motor Cycle,0,Y
TIONG BAHRU PARK OFF STREET,Motor Cycle,0,Y
ADAM ROAD / DUNEARN CLOSE OFF STREET,Motor Cycle,10,Y
ADAM ROAD FOOD CENTRE OFF STREET,Motor Cycle,14,Y
ANAMALAI AVENUE,Motor Cycle,0,Y
ANTHONY ROAD OFF STREET,Motor Cycle,0,Y
BUKIT TIMAH LINK OFF STREET,Motor Cycle,8,Y
BUKIT TIMAH MARKET OFF STREET,Motor Cycle,26,Y
BUKIT TIMAH ROAD,Motor Cycle,0,Y
CAIRNHILL ROAD SERVICE ROAD,Motor Cycle,0,Y
CLEMENCEAU AVENUE,Motor Cycle,0,Y
CLEMENCEAU AVENUE NORTH (NEWTON FC),Motor Cycle,24,Y
CORONATION WALK,Motor Cycle,0,Y
DAIRY FARM ROAD / PETIR ROAD HV PARK,Motor Cycle,0,Y
DUNEARN CLOSE,Motor Cycle,0,Y
KAMPONG JAVA FRINGE CAR PARK,Motor Cycle,0,Y
KAMPONG JAVA ROAD,Motor Cycle,0,Y
MAKEWAY AVENUE,Motor Cycle,0,Y
PRINCE OF WALES ROAD,Motor Cycle,0,Y
PRINCESS OF WALES ROAD,Motor Cycle,0,Y
SIXTH AVENUE,Motor Cycle,0,Y
STEVENS ROAD,Motor Cycle,0,Y
3 CHANGI SOUTH AVENUE 4 (JTC),Motor Cycle,0,Y
"BLK 20,22,24,26,28,30 CHANGI NORTH WAY (JTC)",Motor Cycle,0,Y
"BLK 49,51,55,61,65 CHANGI NORTH CRES(JTC)",Motor Cycle,18,Y
CHANGI BEACH PARK CP 1,Motor Cycle,0,Y
CHANGI BEACH PARK CP 2,Motor Cycle,0,Y
CHANGI BEACH PARK CP 3,Motor Cycle,0,Y
CHANGI BEACH PARK CP 4,Motor Cycle,0,Y
CHANGI BEACH PARK CP 5,Motor Cycle,0,Y
CHANGI BEACH PARK CP 6,Motor Cycle,0,Y
CHANGI NORTH CRESCENT,Motor Cycle,0,Y
CHANGI NORTH RISE,Motor Cycle,0,Y
CHANGI NORTH STREET 1,Motor Cycle,0,Y
CHANGI NORTH STREET 2,Motor Cycle,0,Y
CHANGI ROAD (BET JALAN KEMBANGAN/STILL ROAD),Motor Cycle,0,Y
CHANGI ROAD (BET JOO CHIAT ROAD/STILL ROAD),Motor Cycle,10,Y
CHANGI ROAD / JALAN WAKAFF OFF STREET,Motor Cycle,0,Y
CHANGI ROAD OFF STREET,Motor Cycle,0,Y
CHANGI ROAD SERVICE ROAD,Motor Cycle,0,Y
CHANGI SOUTH AVENUE 2,Motor Cycle,18,Y
CHANGI SOUTH AVENUE 4,Motor Cycle,6,Y
CHANGI SOUTH STREET 1,Motor Cycle,0,Y
CHANGI SOUTH STREET 2,Motor Cycle,20,Y
CHANGI VILLAGE ROAD,Motor Cycle,18,Y
EVERITT ROAD NORTH,Motor Cycle,5,Y
JALAN LAPANG,Motor Cycle,0,Y
JALAN MASJID,Motor Cycle,0,Y
JALAN UBI,Motor Cycle,0,Y
KAMPONG EUNOS,Motor Cycle,0,Y
LANGSAT ROAD,Motor Cycle,0,Y
LORONG 102 CHANGI,Motor Cycle,0,Y
LORONG 104 CHANGI,Motor Cycle,0,Y
LORONG 105 CHANGI,Motor Cycle,0,Y
LORONG 106 CHANGI,Motor Cycle,0,Y
LORONG 107 CHANGI,Motor Cycle,0,Y
LORONG 108 CHANGI,Motor Cycle,4,Y
LORONG BEKUKONG OFF STREET,Motor Cycle,28,Y
LORONG MARICAN,Motor Cycle,0,Y
LORONG MARZUKI,Motor Cycle,0,Y
LORONG MELAYU,Motor Cycle,0,Y
LORONG MYDIN,Motor Cycle,0,Y
LORONG MYDIN OFF STREET,Motor Cycle,0,Y
LORONG SARINA,Motor Cycle,0,Y
NETHERAVON ROAD,Motor Cycle,5,Y
SERVICE ROAD OFF JALAN MASJID,Motor Cycle,0,Y
SIMS AVENUE (PAYA LEBAR RD/EUNOS RD),Motor Cycle,0,Y
UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,Motor Cycle,8,Y
45 QUALITY ROAD (JTC),Motor Cycle,4,Y
CHIA PING ROAD,Motor Cycle,0,Y
CHIN BEE DRIVE,Motor Cycle,0,Y
CHIN BEE ROAD,Motor Cycle,0,Y
FOURTH CHIN BEE ROAD,Motor Cycle,0,Y
JALAN BESUT,Motor Cycle,0,Y
JALAN TUKANG,Motor Cycle,0,Y
JOO YEE ROAD,Motor Cycle,0,Y
LINK ROAD,Motor Cycle,0,Y
QUALITY ROAD,Motor Cycle,0,Y
SECOND CHIN BEE ROAD,Motor Cycle,0,Y
SERVICE ROAD OFF QUALITY ROAD,Motor Cycle,11,Y
THIRD CHIN BEE ROAD,Motor Cycle,0,Y
CHOA CHU KANG WAY,Motor Cycle,0,Y
SERVICE ROAD OFF CHOA CHU KANG AVE 1,Motor Cycle,22,Y
STAGMONT RING HEAVY VEHICLE PARK,Motor Cycle,0,Y
WOODLANDS ROAD LORRY PARK,Motor Cycle,0,Y
BACKLANE BET ONAN ROAD / JOO CHIAT ROAD,Motor Cycle,6,Y
CEYLON LANE,Motor Cycle,0,Y
CEYLON ROAD,Motor Cycle,0,Y
CRANE ROAD,Motor Cycle,0,Y
DUNMAN ROAD FOOD CENTRE OFF STREET,Motor Cycle,1,Y
EAN KIAM PLACE,Motor Cycle,0,Y
EAST COAST PARK E1 OFF STREET,Motor Cycle,23,Y
EAST COAST PARK E2 OFF STREET,Motor Cycle,38,Y
EAST COAST PARK E3 OFF STREET,Motor Cycle,2,Y
EAST COAST PARK SERVICE ROAD,Motor Cycle,0,Y
EAST COAST ROAD (BET FRANKEL AVE/SIGLAP RD),Motor Cycle,0,Y
EAST COAST ROAD (BET SIGLAP RD/JALAN JAMAL),Motor Cycle,0,Y
EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),Motor Cycle,17,Y
EVERITT ROAD,Motor Cycle,4,Y
FORT ROAD/EAST COAST PARK HV PARK,Motor Cycle,0,Y
JAGO CLOSE,Motor Cycle,0,Y
JOO CHIAT LANE,Motor Cycle,0,Y
JOO CHIAT PLACE,Motor Cycle,4,Y
JOO CHIAT ROAD (CHANGI ROAD/EAST COAST ROAD),Motor Cycle,13,Y
JOO CHIAT ROAD OFF STREET,Motor Cycle,36,Y
JOO CHIAT TERRACE (JOO CHIAT RD/TEMBELING RD),Motor Cycle,4,Y
LORONG 101 CHANGI,Motor Cycle,2,Y
MARSHALL ROAD,Motor Cycle,7,Y
ONAN ROAD,Motor Cycle,5,Y
ONAN ROAD / JOO CHIAT ROAD OFF STREET,Motor Cycle,0,Y
ONAN ROAD OFF STREET,Motor Cycle,2,Y
PENNEFATHER ROAD,Motor Cycle,0,Y
SERVICE ROAD OFF JOO CHIAT ROAD,Motor Cycle,0,Y
SERVICE ROAD OFF ONAN ROAD,Motor Cycle,10,Y
SERVICE ROAD OFF UPPER EAST COAST ROAD,Motor Cycle,0,Y
SIGLAP LINK,Motor Cycle,0,Y
TANJONG KATONG RD OFF ST (OPP WILKINSON RD),Motor Cycle,7,Y
TANJONG KATONG ROAD OFF STREET,Motor Cycle,21,Y
TELOK KURAU ROAD,Motor Cycle,0,Y
TEMBELING ROAD,Motor Cycle,0,Y
TEMBELING ROAD OFF STREET,Motor Cycle,23,Y
UPPER EAST COAST ROAD OFF STREET,Motor Cycle,0,Y
ALJUNIED ROAD OFF STREET,Motor Cycle,0,Y
AROOZOO AVENUE,Motor Cycle,0,Y
CEYLON ROAD OFF STREET,Motor Cycle,0,Y
GEYLANG EAST SERVICE ROAD,Motor Cycle,5,Y
GEYLANG EAST SWIMMING COMPLEX (SSC),Motor Cycle,3,Y
GEYLANG ROAD,Motor Cycle,0,Y
GUILLEMARD ROAD,Motor Cycle,0,Y
JALAN AYER,Motor Cycle,0,Y
KAMPONG BUGIS,Motor Cycle,0,Y
KAMPONG BUGIS OFF STREET,Motor Cycle,10,Y
LORONG 1 GEYLANG ROAD OFF STREET,Motor Cycle,0,Y
